转债代码,转债名称,正股代码,正股简称,股东大会日,下修前转股价,下修后转股价,当前转股价,最新价格,转股价值,转股溢价率,强赎进度(%),发行规模(亿),到期时间,正股净利润(亿),正股营收(亿),正股盈利状态,规模/净利(%),剩余年限,下修次数
110081,闻泰转债,600745,闻泰科技,2024-11-08,96.49,43.6,43.6,116.883,90.344,29.38,69.5,86.0,2027-07-28,15.13,297.69,盈利,568.41,1.52,1
127049,希望转2,000876,新 希 望,2023-12-27,14.39,10.6,10.59,119.96,83.9471,42.9,64.6,81.5,2027-11-02,7.6,805.04,盈利,1072.37,1.79,1
123216,科顺转债,300737,科顺股份,2024-09-12,,,6.67,126.1,81.5592,54.61,62.7,21.98,2029-08-04,0.2,47.03,盈利,10990.0,3.54,2
123049,维尔转债,300190,维尔利,2025-04-23,4.63,3.55,3.55,127.151,126.4789,0.53,97.3,9.172387,2026-04-13,0.08,12.78,盈利,11465.48,0.23,6
113048,晶科转债,601778,晶科科技,2025-09-23,5.21,4.5,4.5,128.213,94.6667,35.44,72.8,30.0,2027-04-23,3.56,31.22,盈利,842.7,1.26,1
128101,联创转债,002036,联创电子,2025-02-10,11.6,11.17,11.18,129.0,105.0984,22.74,80.8,3.0,2026-03-16,0.51,64.89,盈利,588.24,0.15,2
127075,百川转2,002455,百川股份,2025-05-14,8.18,7.53,7.53,129.1,94.9535,35.96,73.0,9.78,2028-10-19,0.05,42.77,盈利,19560.0,2.75,2
123064,万孚转债,300482,万孚生物,2026-01-14,27.0,21.1,21.1,130.998,103.7915,26.21,79.8,6.0,2026-09-01,1.34,16.9,盈利,447.76,0.62,2
123119,康泰转2,300601,康泰生物,2025-03-26,19.81,15.82,15.73,132.475,99.2371,33.49,76.3,20.0,2027-07-15,0.49,20.63,盈利,4081.63,1.48,3
128125,华阳转债,002949,华阳国际,2025-09-01,18.04,14.39,14.39,134.2,113.0646,18.69,87.0,4.5,2026-07-30,0.71,8.94,盈利,633.8,0.53,2
123183,海顺转债,300501,海顺新材,2024-04-17,,,17.29,134.557,95.4309,41.0,73.4,6.33,2029-03-23,0.49,8.23,盈利,1291.84,3.18,2
127022,恒逸转债,000703,恒逸石化,2024-11-18,10.91,9.2,9.14,136.32,121.3348,12.35,93.3,20.0,2026-10-16,2.31,838.85,盈利,865.8,0.74,1
123196,正元转02,300645,正元智慧,2023-12-05,32.8,21.99,21.93,137.053,90.6065,51.26,69.7,3.5073,2029-04-18,0.07,7.68,盈利,5010.43,3.25,2
118000,嘉元转债,688388,嘉元科技,2025-09-16,41.88,33.18,33.18,138.307,130.3496,6.1,100.3,12.4,2027-02-23,0.41,65.4,盈利,3024.39,1.1,2
118037,上声转债,688533,上声电子,2024-06-06,47.54,29.58,29.11,139.854,107.9354,29.57,83.0,5.2,2029-07-06,1.35,21.35,盈利,385.19,3.46,2
123172,漱玉转债,301017,漱玉平民,2024-03-06,21.16,15.0,14.95,139.986,114.7826,21.96,88.3,8.0,2028-12-15,1.09,74.46,盈利,733.94,2.91,1
111016,神通转债,605228,神通科技,2024-07-18,,,11.48,142.103,139.0244,2.21,106.9,5.77,2029-07-25,1.13,13.02,盈利,510.62,3.52,1
113678,中贝转债,603220,中贝通信,2024-07-11,32.88,27.45,20.95,143.405,111.2649,28.89,85.6,5.17,2029-10-19,0.85,23.17,盈利,608.24,3.75,2
113640,苏利转债,603585,苏利股份,2024-07-18,19.11,17.2,17.2,145.829,123.0233,18.54,94.6,9.57211,2028-02-16,1.39,20.64,盈利,688.64,2.08,1
113066,平煤转债,601666,平煤股份,2023-07-24,10.92,9.06,7.52,146.391,108.3777,35.07,83.4,29.0,2029-03-16,2.8,148.16,盈利,1035.71,3.16,1
113653,永22转债,603681,永冠新材,2025-09-23,22.3,16.5,16.5,149.09,125.9394,18.38,96.9,7.7,2028-07-28,1.12,50.03,盈利,687.5,2.52,1
113676,荣23转债,603165,荣晟环保,2024-01-17,15.74,12.06,10.51,149.759,140.8183,6.35,108.3,5.76,2029-08-18,1.71,16.09,盈利,336.84,3.58,2
123178,花园转债,300401,花园生物,2024-05-16,15.05,13.56,13.45,149.96,127.9554,17.2,98.4,12.0,2029-03-06,2.34,9.36,盈利,512.82,3.13,1
118038,金宏转债,688106,金宏气体,2024-10-14,26.97,19.07,18.97,157.98,134.5282,17.43,103.5,10.16,2029-07-17,1.16,20.31,盈利,875.86,3.49,1
118003,华兴转债,688001,华兴源创,2024-03-08,30.43,26.36,26.19,160.685,124.7041,28.85,95.9,8.0,2027-11-29,1.52,15.79,盈利,526.32,1.86,1
127079,华亚转债,003043,华亚智能,2025-02-21,52.92,43.3,30.73,205.5,171.7214,19.67,132.1,3.4,2028-12-16,0.49,7.73,盈利,693.88,2.91,2
113654,永02转债,603901,永创智能,2025-02-13,,,9.69,205.615,161.0939,27.64,123.9,6.10547,2028-08-04,1.27,29.58,盈利,480.75,2.54,2
127053,豪美转债,002988,豪美新材,2023-05-12,21.29,17.97,17.23,259.25,226.4655,14.48,174.2,8.24,2028-01-24,1.43,55.82,盈利,576.22,2.01,1
