bond_code,bond_name,putback_start,putback_end,convert_start,convert_end,value_date,expire_date,bond_period,hist_adj_count
100001,南化转债,2002-08-02,2001-05-24,2000-07-12,2001-05-25,1998-08-03,2001-05-25,2.8033,0
100009,机场转债,2002-02-25,2004-04-22,2000-08-25,2004-04-23,2000-02-25,2004-04-23,4.1589,0
100016,民生转债,2007-02-27,2008-02-26,2003-08-27,2008-02-27,2003-02-27,2008-02-27,5,0
100087,水运转债,2006-08-13,2007-03-28,2003-08-13,2007-03-29,2002-08-13,2007-03-29,4.6274,0
100096,云化转债,2005-09-10,2006-09-08,2004-03-10,2006-09-11,2003-09-10,2006-09-09,3,0
100117,西钢转债,2008-02-11,2007-06-10,2004-02-11,2007-06-08,2003-08-11,2007-06-11,3.8251,0
100177,雅戈转债,2003-10-08,2006-04-02,2003-10-08,2006-04-03,2003-04-03,2006-04-03,3,0
100196,复星转债,2004-04-28,2006-07-11,2004-04-28,2006-07-12,2003-10-28,2006-07-12,2.6995,0
100220,阳光转债,2004-04-18,2005-04-17,2003-04-18,2005-04-18,2002-04-18,2005-04-18,3,1
100236,桂冠转债,2004-06-30,2008-06-29,2004-06-30,2008-06-30,2003-06-30,2008-06-30,5,0
100567,山鹰转债,2003-12-16,2007-01-30,2003-12-16,2007-01-31,2003-06-16,2007-01-31,3.6202,5
100726,华电转债,2005-06-03,2007-05-28,2003-12-03,2007-05-29,2003-06-03,2007-05-29,3.9781,4
100795,国电转债,2004-01-18,2007-04-22,2004-01-29,2007-04-20,2003-07-18,2007-04-23,3.7568,0
110001,邯钢转债,2004-05-26,2007-03-01,2004-05-26,2007-03-01,2003-11-26,2007-03-02,3.2568,1
110002,南山转债,2012-04-18,2009-09-17,2008-10-20,2009-09-17,2008-04-18,2009-09-18,1.4192,1
110003,新钢转债,2011-08-21,2013-08-20,2009-02-23,2013-08-20,2008-08-21,2013-08-21,5,3
110004,厦工转债,2010-03-01,2010-09-26,2010-03-01,2010-09-21,2009-08-28,2010-09-27,1.0822,0
110005,西洋转债,2010-09-03,2010-05-13,2010-03-09,2010-05-13,2009-09-03,2010-05-14,0.6932,0
110006,龙盛转债,2012-09-14,2010-05-05,2010-03-15,2010-05-05,2009-09-14,2010-05-06,0.6411,0
110007,博汇转债,2012-09-23,2014-09-22,2010-03-23,2014-09-23,2009-09-23,2014-09-23,5,2
110008,王府转债,2010-04-26,2010-10-27,2010-04-26,2010-10-27,2009-10-19,2010-10-28,1.0247,0
110009,双良转债,2010-11-04,2015-05-03,2010-11-04,2015-05-04,2010-05-04,2015-05-04,5,1
110010,包钢转债,2005-05-10,2009-11-09,2005-05-10,2009-11-09,2004-11-10,2009-11-10,5,1
110011,歌华转债,2015-11-25,2015-04-28,2011-05-26,2015-04-28,2010-11-25,2015-04-29,4.4274,0
110012,海运转债,2013-07-07,2015-05-11,2011-07-08,2015-05-11,2011-01-07,2015-05-12,4.3452,0
110013,国投转债,2015-01-25,2013-07-07,2011-07-26,2013-07-05,2011-01-25,2013-07-08,2.4466,0
