bond_code,bond_name,stock_code,issue_size,rating,maturity_date,convert_price,original_price,listing_date,delist_date,redeem_pct,redeem_days,redeem_window,putback_pct,putback_days,putback_window,revise_pct,revise_days,revise_window,bond_price,convert_value,premium_rate,ytm,remaining_size,maturity_redemption_price,coupon_rate_1,coupon_rate_2,coupon_rate_3,coupon_rate_4,coupon_rate_5,coupon_rate_6,coupon_rate_7,coupon_rate_8,coupon_rate_9,coupon_rate_10
118067,上26转债,688533,3.2485,A+,2032-03-18,32.6,32.6,,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,77.945,,,3.2485,113.0,0.2,0.4,0.8,1.5,2.0,2.5,,,,
123266,博士转债,300622,3.75,AA,2032-03-18,30.43,30.43,,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,77.292,,,3.75,112.0,0.1,0.3,0.6,1.0,1.5,2.0,,,,
127113,长高转债,002452,7.586007,AA-,2032-03-09,11.01,11.01,2026-03-30,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,97.094,,,7.586007,110.0,0.2,0.4,0.6,1.0,1.5,2.0,,,,
113701,祥和转债,603500,4.0,A+,2032-03-03,13.59,13.59,2026-03-26,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,,78.734,,,4.0,114.0,0.2,0.4,0.8,1.5,2.0,2.5,,,,
118066,统联转债,688210,5.76,AA-,2032-03-02,56.2,56.2,2026-03-20,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,136.847,66.957,104.3804,-2.8483,5.76,110.0,0.2,0.4,0.6,1.0,1.5,2.0,,,,
113700,海天转债,603759,8.01,AA,2032-02-05,12.52,12.52,2026-03-12,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,141.964,80.911,75.457,-3.4173,8.01,110.0,0.1,0.3,0.6,1.0,1.5,2.0,,,,
110100,龙建转债,600853,10.0,AA,2032-01-22,4.63,4.63,2026-02-12,,130.0,15.0,30.0,70.0,30.0,30.0,80.0,15.0,30.0,133.345,82.937,60.7787,-2.5532,10.0,110.0,0.1,0.3,0.6,1.0,1.5,2.0,,,,
118065,艾为转债,688798,19.0132,AA+sti,2032-01-22,79.83,79.83,2026-02-26,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,146.508,84.379,73.6309,-3.9823,19.0132,108.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
127112,尚太转债,001301,17.34,AA+,2032-01-16,84.71,84.71,2026-02-05,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,148.868,88.254,68.6813,-4.3186,17.34,107.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
123265,耐普转02,300818,4.5,A+,2032-01-16,38.44,38.44,2026-01-30,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,156.0,91.233,70.9908,-4.0916,4.5,114.0,0.2,0.4,0.8,1.5,2.0,2.5,,,,
118064,联瑞转债,688300,6.95,AAsti,2032-01-08,63.55,63.55,2026-01-28,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,226.833,129.504,75.1552,-8.6284,6.95,110.0,0.1,0.3,0.6,1.0,1.5,2.0,,,,
123264,双乐转债,301036,8.0,AA-,2031-12-26,36.7,36.7,2026-01-16,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,135.788,75.858,79.0029,-2.8265,8.0,110.0,0.2,0.4,0.6,1.0,1.5,1.8,,,,
118063,金05转债,688676,16.715,AA+sti,2031-12-25,89.28,89.28,2026-01-14,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,156.314,88.777,76.0749,-4.984,16.715,108.0,0.1,0.3,0.6,1.0,1.5,2.0,,,,
123263,鼎捷转债,300378,8.276642,AA,2031-12-15,43.54,43.54,2025-12-31,,130.0,15.0,30.0,70.0,30.0,30.0,85.0,15.0,30.0,151.45,86.771,74.5399,-4.377,8.276642,110.0,0.1,0.3,0.6,1.0,1.5,2.0,,,,
