bond_code,bond_price,convert_value,premium_rate,ytm,remaining_size,convert_price,maturity_redemption_price,coupon_rate_1,coupon_rate_2,coupon_rate_3,coupon_rate_4,coupon_rate_5,coupon_rate_6,coupon_rate_7,coupon_rate_8,coupon_rate_9,coupon_rate_10
118067,,79.356,,,3.2485,32.6,113.0,0.2,0.4,0.8,1.5,2.0,2.5,,,,
123266,,78.541,,,3.75,30.43,112.0,0.1,0.3,0.6,1.0,1.5,2.0,,,,
127113,,98.456,,,7.586007,11.01,110.0,0.2,0.4,0.6,1.0,1.5,2.0,,,,
113701,,81.236,,,4.0,13.59,114.0,0.2,0.4,0.8,1.5,2.0,2.5,,,,
118066,137.141,68.808,99.3097,-2.8797,5.76,56.2,110.0,0.2,0.4,0.6,1.0,1.5,2.0,,,,
113700,143.512,84.345,70.1488,-3.566,8.01,12.52,110.0,0.1,0.3,0.6,1.0,1.5,2.0,,,,
110100,136.704,84.881,61.0537,-2.9134,10.0,4.63,110.0,0.1,0.3,0.6,1.0,1.5,2.0,,,,
118065,147.858,85.294,73.351,-4.1045,19.0132,79.83,108.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
127112,153.81,89.246,72.3439,-4.7348,17.34,84.71,107.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
123265,162.7,91.519,77.7773,-4.6337,4.5,38.44,114.0,0.2,0.4,0.8,1.5,2.0,2.5,,,,
118064,227.812,135.043,68.6959,-8.6696,6.95,63.55,110.0,0.1,0.3,0.6,1.0,1.5,2.0,,,,
123264,138.654,76.921,80.2551,-3.1288,8.0,36.7,110.0,0.2,0.4,0.6,1.0,1.5,1.8,,,,
118063,157.633,90.3,74.5659,-5.0902,16.715,89.28,108.0,0.1,0.3,0.6,1.0,1.5,2.0,,,,
123263,155.666,87.919,77.0562,-4.7338,8.276642,43.54,110.0,0.1,0.3,0.6,1.0,1.5,2.0,,,,
118062,170.883,106.209,60.8931,-5.6516,8.72,55.73,112.0,0.2,0.4,0.6,1.0,1.5,2.0,,,,
123262,142.398,80.654,76.5542,-3.5288,5.0,38.82,110.0,0.2,0.4,0.6,1.0,1.5,1.8,,,,
111024,159.758,94.301,69.4128,-4.8288,5.8,34.04,112.0,0.2,0.4,0.6,1.0,1.5,2.0,,,,
123261,148.583,86.035,72.7006,-3.508,2.429326,18.26,114.0,0.2,0.4,0.8,1.5,2.0,2.5,,,,
118061,196.961,82.576,138.5209,-7.0965,5.625,364.43,113.0,0.2,0.4,0.8,1.5,2.0,2.5,,,,
118060,179.55,124.279,44.4733,-6.3083,10.0,73.85,112.0,0.2,0.4,0.6,1.0,1.5,2.0,,,,
123260,168.3,90.707,85.5425,-5.2246,4.5,52.3,114.0,0.2,0.4,0.8,1.5,2.0,2.5,,,,
118059,152.664,89.745,70.1086,-4.692,8.5,13.75,108.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
123259,200.203,156.926,27.578,-7.7075,16.765838,72.55,110.0,0.2,0.4,0.8,1.2,1.8,2.0,,,,
110099,152.172,113.516,34.0533,-4.9464,38.02,9.84,106.0,0.2,0.4,0.6,1.5,1.7,2.0,,,,
113699,159.517,92.83,71.8378,-5.0143,20.0,63.46,112.0,0.1,0.3,0.6,1.0,1.5,2.0,,,,
113697,270.491,208.5,29.7319,-10.651,15.0,30.47,109.0,0.1,0.3,0.6,1.0,1.5,2.0,,,,
123258,155.908,96.383,61.7588,-4.5066,4.5,54.46,113.0,0.2,0.4,0.8,1.5,1.9,2.3,,,,
127111,138.699,88.77,56.2454,-3.3634,12.923948,19.59,110.0,0.1,0.3,0.6,1.0,1.5,2.0,,,,
113698,148.299,103.532,43.2398,-4.33,3.08447,12.74,110.0,0.2,0.4,0.6,1.0,1.5,1.8,,,,
118058,264.1,207.09,27.5291,-10.5896,11.7,33.57,110.0,0.2,0.4,0.8,1.2,1.5,2.0,,,,
127110,152.566,122.888,24.1504,-5.2525,49.0,3.67,106.0,0.2,0.4,0.8,1.2,1.6,2.0,,,,
111023,176.819,135.914,30.0962,-6.741,7.5,12.14,110.0,0.1,0.3,0.6,1.2,1.8,2.0,,,,
113696,139.144,87.486,59.0472,-3.5005,28.02,52.42,110.0,0.1,0.3,0.6,1.0,1.5,2.0,,,,
118057,169.986,128.103,32.6948,-5.8351,11.65,28.36,113.0,0.2,0.4,0.8,1.5,2.0,2.5,,,,
113695,186.543,144.08,29.4718,-6.927,4.6,23.48,114.0,0.2,0.4,0.8,1.5,2.0,2.5,,,,
111022,153.391,107.155,43.1487,-4.4371,5.2,22.64,113.0,0.2,0.4,0.8,1.5,1.9,2.3,,,,
123257,146.0,99.638,46.5304,-4.3924,11.0482,110.58,108.0,0.2,0.4,0.6,1.5,1.8,2.0,,,,
127109,164.8,130.792,26.0016,-5.8196,4.87,10.1,110.0,0.2,0.4,0.8,1.5,1.8,2.0,,,,
118056,190.8,147.92,28.9886,-7.5244,6.15,32.7,112.0,0.2,0.4,0.8,1.0,1.6,2.0,,,,
123256,247.231,206.459,19.7482,-10.0313,3.2759,62.55,114.0,0.2,0.4,0.8,1.5,2.0,2.5,,,,
118055,200.263,201.724,-0.7243,,11.75,62.65,110.0,0.1,0.3,0.6,1.0,1.5,2.0,,,,
113694,151.598,129.471,17.0903,-4.2839,5.0,12.86,114.0,0.2,0.4,0.8,1.5,2.0,2.5,,,,
