code,name,trade_date,open,high,low,close,prev_close,change_amount,change_pct,volume,amount,turnover_rate,pe_dynamic,pb,total_mv,circ_mv
920000,安徽凤凰,2026-03-18,17.580,17.580,17.030,17.060,17.410,-0.35,-2.01,506687,8768151,0.87976,24.371,2.408,1564060800.0,982552360.5
920001,纬达光电,2026-03-18,19.350,19.540,17.600,17.770,19.310,-1.54,-7.975,5769696,105517875,6.50539,84.619,3.599,2730470745.08,1576039425.4
920002,万达轴承,2026-03-18,90.690,90.880,87.580,87.820,90.150,-2.33,-2.585,424227,37965468,1.33174,45.74,5.537,3996070649.76,2797515672.38
920003,中诚咨询,2026-03-18,30.450,31.200,30.350,30.700,30.450,0.25,0.821,913101,28038546,6.8579,14.76,3.73,1986728580.2,408757790.2
920005,鼎佳精密,2026-03-18,38.370,38.880,37.900,37.970,38.350,-0.38,-0.991,333482,12823205,1.55108,38.354,4.567,3151510000.0,816355000.0
920006,晟楠科技,2026-03-18,25.450,25.610,24.900,24.950,25.510,-0.56,-2.195,980707,24765438,2.05181,-226.818,6.951,2252665640.0,1192537944.4
920007,酉立智能,2026-03-18,66.950,67.960,66.260,66.660,66.230,0.43,0.649,324837,21773771,3.05216,22.829,4.762,2961867117.0,709452381.0
920008,成电光信,2026-03-18,30.310,30.320,29.300,29.350,30.250,-0.9,-2.975,1386172,41251322,4.12567,33.018,5.972,1871062500.0,986122461.35
920009,丹娜生物,2026-03-18,74.780,75.160,73.330,73.400,74.060,-0.66,-0.891,137396,10208634,1.90828,39.891,7.902,4065626000.0,528480000.0
920010,凯添燃气,2026-03-18,12.580,12.850,12.050,12.570,12.750,-0.18,-1.412,13507937,167403302,7.77912,66.158,4.28,2947665000.0,2182698518.46
920014,特瑞斯,2026-03-18,15.290,15.310,14.320,14.990,15.220,-0.23,-1.511,8248176,121417349,12.30203,30.592,2.283,1826632577.57,1005038997.02
920015,锦华新材,2026-03-18,46.880,46.970,45.050,45.050,46.560,-1.51,-3.243,1283487,58820165,3.40039,20.929,3.932,6107278348.35,1700426350.65
920016,中草香料,2026-03-18,19.950,19.950,19.160,19.260,19.860,-0.6,-3.021,1363238,26574621,3.98174,33.789,3.902,1482671952.54,659408818.68
920017,星昊医药,2026-03-18,17.870,17.990,17.550,17.590,17.770,-0.18,-1.013,899361,15990540,0.72817,25.868,1.343,2195799805.2,2172535271.2
920018,宏远股份,2026-03-18,32.510,32.670,30.900,31.020,32.900,-1.88,-5.714,3303558,104299221,7.47009,28.2,4.348,3949763075.28,1371822276.0
920019,铜冠矿建,2026-03-18,20.490,20.550,19.900,19.910,20.470,-0.56,-2.736,2151321,43452104,1.2841,46.302,4.555,4186409997.0,3335635110.06
920020,泰凯英,2026-03-18,16.950,17.220,16.880,16.990,16.880,0.11,0.652,1329536,22684372,2.41291,19.062,4.652,3821815550.0,936164307.99
920021,流金科技,2026-03-18,10.280,10.280,9.670,9.710,10.230,-0.52,-5.083,15923946,158195999,6.4325,-121.375,4.802,3000389834.93,2403755874.83
920022,世昌股份,2026-03-18,29.540,31.750,29.530,30.250,29.040,1.21,4.167,3171452,97638313,19.08788,18.445,4.321,1824710250.0,502603750.0
920023,田野股份,2026-03-18,4.230,4.290,4.180,4.190,4.230,-0.04,-0.946,4982207,21100923,1.85344,142.034,1.123,1371403760.0,1126307740.7
920026,卓兆点胶,2026-03-18,35.550,35.550,34.300,34.670,35.250,-0.58,-1.645,394672,13723461,1.06053,-138.68,4.664,2845618118.82,1290230875.4
920027,交大铁发,2026-03-18,20.590,20.780,20.440,20.640,20.630,0.01,0.048,733852,15130081,1.73884,22.194,3.866,1634760240.0,871080240.0
920029,开发科技,2026-03-18,86.700,87.600,85.890,86.000,86.990,-0.99,-1.138,479754,41645422,1.24655,14.651,3.336,11944253362.0,3309853362.0
920030,德众汽车,2026-03-18,6.130,6.140,5.950,5.950,6.080,-0.13,-2.138,1573780,9492287,1.40477,198.333,2.348,1064096101.95,666585384.15
