代码,名称,最新股东数,最早股东数,总降幅(%),最新日期,最早日期,第1期人数,第1期日期,第2期人数,第2期日期,第3期人数,第3期日期
603186,华正新材,17566,22942,-23.43,2026-01-10,2025-12-20,17566,2026-01-10,20180,2025-12-31,22942,2025-12-20
002445,中南文化,53406,66263,-19.4,2026-01-10,2025-12-10,53406,2026-01-10,54670,2025-12-31,66263,2025-12-10
603966,法兰泰克,21322,26444,-19.37,2026-01-10,2025-12-20,21322,2026-01-10,23669,2025-12-31,26444,2025-12-20
301221,光庭信息,14448,16652,-13.24,2026-01-10,2025-12-20,14448,2026-01-10,15662,2025-12-31,16652,2025-12-20
002912,中新赛克,22919,24594,-6.81,2026-01-10,2025-12-20,22919,2026-01-10,23881,2025-12-31,24594,2025-12-20
688280,精进电动,17113,17849,-4.12,2026-01-10,2025-12-20,17113,2026-01-10,17468,2025-12-31,17849,2025-12-20
601956,东贝集团,35904,37226,-3.55,2026-01-10,2025-12-20,35904,2026-01-10,36701,2025-12-31,37226,2025-12-20
002467,二六三,145267,150494,-3.47,2026-01-10,2025-12-20,145267,2026-01-10,149384,2025-12-31,150494,2025-12-20
300247,融捷健康,31354,32366,-3.13,2026-01-10,2025-12-10,31354,2026-01-10,32010,2025-12-19,32366,2025-12-10
301028,东亚机械,17210,17736,-2.97,2026-01-10,2025-12-20,17210,2026-01-10,17519,2025-12-31,17736,2025-12-20
