股票代码,股票名称,现价,总市值(亿),流通市值(亿),PE(动),净利润(亿),年度涨跌幅(%),单周最大涨幅(%),单周最大跌幅(%),平均换手率(%),峰值换手率(%),价格区间高,价格区间低,价格波幅(%),波段次数,放量日数,最长连续放量,高位放量日,最大量比,平均放量倍数
002819,东方中科,29.88,89.52,70.24,-81.7,,17.5,17.87,-12.42,15.99,81.3,40.74,22.54,80.75,26,25,14,21,6.36,2.98
002888,惠威科技,20.66,30.5,15.48,230.25,0.13,14.4,10.31,-10.51,26.63,99.21,22.89,12.81,78.69,31,18,9,16,4.66,2.94
605005,合兴股份,18.68,74.91,74.91,36.81,2.04,18.98,24.39,-10.38,3.94,18.8,26.41,13.31,98.42,26,28,6,16,10.0,3.1
002186,全 聚 德,11.91,36.55,36.51,104.74,0.35,9.57,11.47,-8.56,14.89,74.38,15.29,9.48,61.29,27,22,9,15,4.99,2.81
600738,丽尚国潮,5.28,40.2,40.16,26.01,1.55,17.33,15.76,-12.87,19.18,84.83,6.87,4.11,67.15,24,22,12,14,4.9,2.77
300094,国联水产,3.96,44.68,43.78,-4.19,,9.39,22.54,-13.53,32.93,184.05,5.8,2.96,95.95,28,21,8,14,7.57,3.33
300962,中金辐照,17.04,44.99,44.99,37.57,1.2,13.83,22.11,-10.93,9.61,62.31,20.35,12.41,63.98,31,18,8,14,8.18,3.72
301116,益客食品,11.15,50.06,50.06,-13.02,,-2.87,14.3,-13.65,8.25,39.28,15.08,10.5,43.62,32,15,7,14,5.6,3.02
300796,贝斯美,8.93,32.25,32.25,77.61,0.42,-11.14,25.0,-11.43,13.45,91.34,14.64,8.1,80.74,25,19,12,13,6.36,3.06
600368,五洲交通,3.99,64.23,64.23,9.48,6.78,-5.23,16.2,-21.75,10.64,68.93,5.74,3.83,49.87,29,19,10,13,4.92,2.93
603395,红四方,30.43,79.12,19.78,129.44,0.61,-12.58,10.74,-9.91,35.01,125.82,40.55,28.82,40.7,31,17,9,13,4.82,2.92
300275,梅安森,14.07,43.34,38.19,82.09,0.53,5.08,12.98,-13.69,23.03,145.52,19.97,10.07,98.31,24,21,8,13,4.79,2.88
600127,金健米业,6.74,43.26,43.26,258.42,0.17,5.15,10.93,-8.64,15.84,82.68,8.1,6.2,30.65,32,20,8,13,5.95,3.16
300351,永贵电器,18.7,72.73,49.26,76.6,0.95,7.29,12.09,-11.56,23.91,81.08,21.72,13.1,65.8,31,21,8,13,5.53,2.88
603237,五芳斋,16.93,33.36,33.18,14.31,2.33,-1.8,8.87,-7.76,13.56,78.37,22.01,16.11,36.62,32,20,8,13,4.64,2.78
603928,兴业股份,17.16,44.97,44.97,45.55,0.99,19.5,62.08,-17.3,22.93,105.74,22.21,7.53,194.95,28,28,7,13,4.85,2.9
300848,美瑞新材,15.8,67.61,39.99,86.9,0.78,-5.56,7.83,-11.06,10.48,86.7,21.92,14.0,56.57,31,21,7,13,10.45,3.94
600121,郑州煤电,4.44,54.1,54.1,-10.62,,16.54,15.93,-19.2,18.43,85.33,6.08,3.34,82.04,34,23,7,13,3.79,2.85
000821,京山轻机,13.96,86.95,84.41,22.9,3.8,13.04,13.77,-10.06,16.06,59.27,15.37,9.69,58.62,30,24,7,13,5.51,2.83
002333,罗普斯金,5.87,39.62,38.31,67.54,0.59,7.9,13.61,-15.09,7.9,45.96,6.92,4.59,50.76,34,15,7,13,5.72,3.44
603004,鼎龙科技,24.27,57.16,14.29,35.0,1.63,15.9,18.69,-12.84,37.92,123.51,26.62,15.79,68.59,28,21,6,13,4.09,2.61
000541,佛山照明,6.32,97.06,77.77,51.63,1.88,6.4,13.63,-8.62,12.36,81.85,9.31,5.09,82.91,32,20,6,13,4.91,2.9
002889,东方嘉盛,15.53,58.65,39.02,31.1,1.89,9.6,12.97,-9.71,14.84,48.33,17.48,11.69,49.53,36,18,6,13,5.98,3.01
605300,佳禾食品,11.77,53.48,53.48,154.27,0.35,-8.19,27.57,-21.39,6.01,20.18,18.37,11.24,63.43,34,18,4,13,6.08,2.91
002644,佛慈制药,9.02,46.06,46.06,90.71,0.51,16.99,17.99,-9.49,7.88,66.92,11.85,6.71,76.6,25,23,10,12,7.51,3.66
000428,华天酒店,3.36,34.24,34.24,-16.44,,11.63,13.4,-18.87,13.35,58.55,4.32,2.73,58.24,32,17,10,12,4.28,2.71
605179,一鸣食品,21.46,86.05,86.05,139.07,0.62,4.28,17.05,-13.49,13.38,37.71,26.94,17.46,54.3,25,15,10,12,4.36,2.66
002547,春兴精工,4.73,53.36,52.26,-20.01,,11.29,22.91,-18.06,30.02,153.82,7.25,3.27,121.71,30,22,9,12,6.36,3.08
002691,冀凯股份,8.84,30.06,29.7,-49.16,,16.47,33.17,-20.2,24.56,107.24,14.2,4.46,218.39,24,25,9,12,5.71,3.22
603310,巍华新材,17.09,59.02,31.54,40.78,1.45,-2.06,16.3,-12.87,15.87,85.65,21.18,14.7,44.08,32,17,9,12,5.56,2.72
300215,电科院,6.88,51.54,34.39,-166.48,,18.62,16.54,-11.68,16.69,68.49,8.19,5.0,63.8,29,23,9,12,5.3,2.96
300538,同益股份,16.62,30.23,20.11,309.4,0.1,15.26,16.51,-11.02,27.63,152.82,20.71,11.66,77.62,20,18,8,12,6.86,2.96
002086,东方海洋,2.43,47.6,38.43,-33.87,,0.83,27.46,-22.34,26.32,123.23,3.77,2.28,65.35,25,20,8,12,6.64,3.3
000822,山东海化,5.5,49.23,49.23,-9.32,,7.21,9.55,-15.66,13.4,57.7,7.03,4.99,40.88,28,18,7,12,6.54,3.12
001379,腾达科技,24.38,48.76,16.41,57.84,0.84,15.11,12.18,-13.49,36.3,126.33,26.85,15.27,75.83,28,26,6,12,5.53,3.12
000779,甘咨询,8.56,39.79,39.78,18.92,2.1,9.6,22.45,-22.62,12.58,64.0,13.06,7.08,84.46,31,17,6,12,3.92,2.47
600579,中化装备,8.91,43.98,43.98,-122.29,,7.48,19.86,-11.58,16.58,59.76,11.21,5.77,94.28,27,18,6,12,6.62,3.0
300862,蓝盾光电,27.28,50.36,41.32,-64.0,,8.47,23.2,-15.15,18.06,50.26,31.46,18.75,67.79,25,23,6,12,6.62,3.19
002535,林州重机,3.93,31.51,29.33,33.16,0.95,0.77,8.44,-21.49,16.74,58.85,5.4,3.52,53.41,41,15,5,12,6.04,3.2
300891,惠云钛业,9.27,37.08,30.82,-248.04,,14.44,8.53,-14.03,13.84,46.04,11.87,6.75,75.85,33,24,5,12,4.82,2.64
002655,共达电声,12.93,46.79,46.78,55.6,0.84,7.21,20.0,-11.18,25.32,120.61,18.2,9.92,83.47,30,17,11,11,5.91,3.08
600758,辽宁能源,3.8,50.24,50.19,-37.38,,16.92,10.15,-16.52,9.48,40.97,4.73,3.02,56.62,28,18,10,11,4.63,2.79
600814,杭州解百,8.31,61.09,61.09,24.34,2.51,18.04,14.53,-7.21,9.31,32.77,9.53,6.44,47.98,28,16,9,11,3.27,2.68
