股票代码,股票名称,现价,总市值(亿),流通市值(亿),PE(动),净利润(亿),年度涨跌幅(%),单周最大涨幅(%),单周最大跌幅(%),平均换手率(%),峰值换手率(%),价格区间高,价格区间低,价格波幅(%),波段次数,放量日数,最长连续放量,高位放量日,最大量比,平均放量倍数
920575,康乐卫士,11.99,33.68,22.52,-11.03,,-35.61,34.87,-19.98,10.3,27.7,19.9,8.2,142.68,27,19,4,4,4.43,2.9
300078,思创医惠,5.68,63.5,63.24,-999.99,,101.42,39.63,-17.29,31.33,124.29,5.68,2.53,124.51,23,16,8,10,6.36,3.01
301333,诺思格,76.48,73.87,43.72,57.97,1.27,60.44,36.72,-17.35,22.07,50.76,76.48,40.83,87.31,27,18,7,10,5.09,2.66
301230,泓博医药,56.64,79.06,71.15,170.64,0.46,124.76,38.19,-15.42,37.43,125.73,56.64,21.72,160.77,25,13,6,7,6.14,3.22
301257,普蕊斯,72.24,57.07,54.41,48.99,1.16,174.57,20.89,-12.63,21.39,57.6,72.24,24.01,200.87,31,17,6,6,5.11,2.93
301378,通达海,45.49,43.94,20.89,-65.32,,64.11,44.0,-18.68,35.17,119.18,45.49,20.8,118.7,27,14,7,9,4.96,3.53
300246,宝莱特,13.09,34.63,27.66,-311.39,,103.89,40.6,-9.44,21.01,118.64,13.09,5.38,143.31,29,17,7,9,7.42,3.66
300404,博济医药,12.92,49.84,36.28,170.57,0.29,54.92,22.46,-12.09,28.36,88.2,13.15,7.67,71.45,33,19,7,8,5.55,3.04
301060,兰卫医学,13.28,53.19,47.83,-5974.08,,52.29,25.05,-12.22,9.61,37.12,13.28,7.46,78.02,25,11,4,8,5.61,3.11
300267,尔康制药,4.45,91.79,63.3,173.94,0.53,78.71,27.73,-9.4,20.05,108.8,4.83,2.14,125.7,27,16,7,8,7.68,3.29
301111,粤万年青,24.97,39.95,39.95,-368.58,,62.88,36.2,-19.17,15.33,104.09,31.36,12.15,158.11,19,26,11,16,5.75,2.92
688137,近岸蛋白,49.6,34.81,16.21,-90.46,,57.91,15.71,-11.42,11.56,67.91,51.56,28.67,79.84,31,20,7,5,8.26,3.15
300816,艾可蓝,69.0,55.2,39.1,55.88,0.99,186.43,54.11,-11.8,33.55,148.36,71.99,20.02,259.59,25,18,7,7,5.51,2.88
301097,天益医疗,58.5,34.48,16.93,128.71,0.27,57.55,19.57,-11.22,19.12,88.05,68.0,28.81,136.03,29,18,5,5,7.41,3.09
920227,美登科技,89.05,34.68,15.67,86.97,0.4,80.12,37.0,-13.4,34.84,117.77,102.0,42.05,142.57,27,30,12,11,6.91,3.09
300062,中能电气,10.5,66.14,48.14,970.33,0.07,107.51,78.37,-28.42,39.31,234.68,12.47,4.2,196.9,29,16,9,5,5.81,3.14
300164,通源石油,7.18,42.25,41.87,56.36,0.75,66.98,42.09,-19.75,59.55,272.92,8.59,3.33,157.96,31,22,9,13,6.36,3.13
920344,三元基因,28.45,34.65,32.26,-182.02,,63.22,23.93,-16.67,10.71,45.88,39.87,16.75,138.03,27,22,8,10,5.31,3.08
301047,义翘神州,82.02,99.77,98.08,67.91,1.47,49.4,13.77,-11.24,5.2,18.38,85.0,52.4,62.21,27,13,4,5,6.36,2.87
301102,兆讯传媒,13.5,54.81,54.81,122.93,0.45,16.18,18.73,-10.69,17.65,60.7,14.57,8.31,75.33,27,9,4,6,5.93,3.08
300977,深圳瑞捷,21.84,33.25,20.7,91.91,0.36,29.08,16.29,-10.88,10.31,25.37,23.2,13.48,72.11,27,16,3,6,4.45,2.68
300617,安靠智电,38.75,64.85,54.47,65.89,0.98,32.12,18.98,-12.05,13.83,80.27,44.74,23.06,94.02,29,17,5,9,6.49,3.52
300987,川网传媒,23.9,41.43,41.43,358.4,0.12,48.26,33.74,-14.61,21.71,80.2,25.98,12.21,112.78,31,16,9,8,8.25,3.81
301315,威士顿,71.8,63.18,26.57,220.55,0.29,15.53,26.9,-13.42,59.59,178.84,78.05,38.1,104.86,29,17,9,3,6.88,3.29
301017,漱玉平民,19.43,78.76,47.28,54.12,1.46,70.44,35.67,-22.29,18.8,88.93,21.17,9.26,128.62,25,21,6,8,4.97,2.77
600800,渤海化学,3.91,43.4,43.39,-5.62,,27.36,23.86,-28.32,16.97,56.08,5.05,2.24,125.45,25,19,6,3,5.18,2.68
