时间,价格,手数,方向,序列号,委托号
09:15:00,29.51,60,买,1775524500,133210
09:15:00,32.92,1,卖,1775524500,128877
09:15:00,30.93,5,卖,1775524500,128030
09:15:00,32.92,1,卖,1775524500,126469
09:15:00,30.24,2,卖,1775524500,121795
09:15:00,29.01,20,买,1775524500,120140
09:15:00,32.91,32,卖,1775524500,119494
09:15:00,32.91,30,卖,1775524500,119493
09:15:00,30.29,2,卖,1775524500,117581
09:15:00,32.80,8,卖,1775524500,116979
09:15:00,29.31,3,买,1775524500,116330
09:15:00,29.31,3,买,1775524500,116329
09:15:00,29.31,2,买,1775524500,116328
09:15:00,29.31,2,买,1775524500,116325
09:15:00,29.31,2,买,1775524500,116324
09:15:00,31.74,30,卖,1775524500,110366
09:15:00,31.14,37,卖,1775524500,110365
09:15:00,30.94,30,卖,1775524500,110364
09:15:00,32.92,1,卖,1775524500,108328
09:15:00,29.71,3,买,1775524500,108165
09:15:00,32.91,30,卖,1775524500,101232
09:15:00,30.90,4,卖,1775524500,96386
09:15:00,32.91,33,卖,1775524500,94572
09:15:00,30.92,5,卖,1775524500,89355
09:15:00,30.93,10,卖,1775524500,88558
09:15:00,29.70,20,买,1775524500,88348
09:15:00,31.43,20,卖,1775524500,86286
09:15:00,30.43,10,卖,1775524500,86285
09:15:00,32.92,10,卖,1775524500,84557
09:15:00,32.92,3,卖,1775524500,78365
09:15:00,30.35,5,卖,1775524500,71416
09:15:00,29.80,5,买,1775524500,63292
09:15:00,30.85,5,卖,1775524500,54792
09:15:00,29.72,1,买,1775524500,53258
09:15:00,31.91,10,卖,1775524500,52872
09:15:00,30.89,4,卖,1775524500,52486
09:15:00,29.93,1,买,1775524500,49276
09:15:00,29.52,4,买,1775524500,47995
09:15:00,30.98,4,卖,1775524500,40197
09:15:00,31.70,2,卖,1775524500,38343
09:15:00,30.40,5,卖,1775524500,34625
09:15:00,30.14,3,卖,1775524500,34586
09:15:00,32.90,2,卖,1775524500,32938
09:15:00,31.54,2,卖,1775524500,31717
09:15:00,31.24,2,卖,1775524500,31700
09:15:00,29.27,1,买,1775524500,26742
09:15:00,29.27,35,买,1775524500,26677
09:15:00,32.80,7,卖,1775524500,25498
09:15:00,32.00,1,卖,1775524500,22546
09:15:00,27.00,1,买,1775524500,22545
09:15:00,29.00,1,买,1775524500,22540
09:15:00,29.27,2,买,1775524500,20269
09:15:00,30.42,2,卖,1775524500,18648
09:15:00,29.06,1,买,1775524500,17711
09:15:00,30.79,4,卖,1775524500,9273
09:15:00,28.01,1,买,1775524500,5727
09:15:00,32.92,1,卖,1775524500,5294
09:15:00,30.66,2,卖,1775524500,3137
09:15:00,28.80,2,买,1775524500,3136
09:15:00,32.90,1,卖,1775524500,2958
09:15:01,30.95,1,卖,1775524501,172422
09:15:01,26.94,1,买,1775524501,172377
09:15:01,32.92,2,卖,1775524501,171233
09:15:01,29.02,20,买,1775524501,171178
09:15:01,32.91,18,卖,1775524501,165212
09:15:01,27.01,1,卖,1775524501,164157
09:15:01,30.42,2,卖,1775524501,161896
09:15:01,32.92,15,卖,1775524501,161820
09:15:01,29.65,1,买,1775524501,160541
09:15:01,30.42,2,卖,1775524501,155224
09:15:01,30.73,7,卖,1775524501,146292
09:15:01,30.83,3,卖,1775524501,143945
09:15:01,29.51,28,买,1775524501,136539
09:15:01,32.30,1,卖,1775524501,136294
09:15:02,29.60,5,买,1775524502,187191
09:15:02,29.61,3,买,1775524502,185623
09:15:02,27.26,1,买,1775524502,180992
09:15:03,28.00,2,买,1775524503,194356
09:15:04,32.91,1,卖,1775524504,198220
