时间,价格,手数,方向,序列号,委托号
09:15:00,3.89,180,卖,1775524500,136082
09:15:00,3.90,300,卖,1775524500,136079
09:15:00,3.50,10,买,1775524500,136000
09:15:00,4.15,10,卖,1775524500,135935
09:15:00,4.15,10,卖,1775524500,135931
09:15:00,3.91,50,卖,1775524500,135485
09:15:00,3.88,10,卖,1775524500,134564
09:15:00,4.15,52,卖,1775524500,134489
09:15:00,3.62,20,买,1775524500,134337
09:15:00,4.15,46,卖,1775524500,134274
09:15:00,4.01,10,卖,1775524500,134128
09:15:00,3.60,100,买,1775524500,133964
09:15:00,4.00,100,卖,1775524500,133962
09:15:00,3.96,26,卖,1775524500,133544
09:15:00,3.93,86,卖,1775524500,133543
09:15:00,3.65,40,买,1775524500,133528
09:15:00,3.85,20,卖,1775524500,133514
09:15:00,4.05,20,卖,1775524500,133140
09:15:00,4.00,20,卖,1775524500,133139
09:15:00,3.95,20,卖,1775524500,133137
09:15:00,4.12,7,卖,1775524500,131831
09:15:00,3.61,20,买,1775524500,131815
09:15:00,4.08,20,卖,1775524500,131809
09:15:00,3.65,1,买,1775524500,131791
09:15:00,3.81,64,卖,1775524500,131663
09:15:00,4.15,3,卖,1775524500,130895
09:15:00,3.66,91,买,1775524500,130283
09:15:00,4.04,150,卖,1775524500,129013
09:15:00,3.40,1,买,1775524500,128653
09:15:00,3.78,3,买,1775524500,127880
09:15:00,3.78,3,买,1775524500,127799
09:15:00,4.11,20,卖,1775524500,127646
09:15:00,3.78,443,买,1775524500,127625
09:15:00,3.51,8,买,1775524500,127585
09:15:00,4.15,98,卖,1775524500,127160
09:15:00,3.45,7,买,1775524500,127039
09:15:00,3.88,20,卖,1775524500,126334
09:15:00,4.14,15,卖,1775524500,126076
09:15:00,4.12,20,卖,1775524500,126046
09:15:00,3.70,115,买,1775524500,125954
09:15:00,4.15,10,卖,1775524500,125845
09:15:00,4.09,10,卖,1775524500,125810
09:15:00,4.08,180,卖,1775524500,125777
09:15:00,3.90,10,卖,1775524500,125080
09:15:00,3.50,5,买,1775524500,124994
09:15:00,4.10,26,卖,1775524500,124912
09:15:00,3.77,2,买,1775524500,124831
09:15:00,4.06,35,卖,1775524500,124808
09:15:00,3.40,1,买,1775524500,124235
09:15:00,3.72,1,买,1775524500,124209
09:15:00,3.93,6,卖,1775524500,124153
09:15:00,3.78,53,买,1775524500,123921
09:15:00,4.15,12,卖,1775524500,123729
09:15:00,3.58,1,买,1775524500,123523
09:15:00,3.78,7,买,1775524500,122918
09:15:00,3.69,12,买,1775524500,122400
09:15:00,3.77,1,卖,1775524500,122242
09:15:00,3.70,20,买,1775524500,122181
09:15:00,4.15,30,卖,1775524500,121955
09:15:00,4.15,6,卖,1775524500,121900
09:15:00,3.50,1,买,1775524500,121515
09:15:00,4.13,15,卖,1775524500,121447
09:15:00,3.98,1,卖,1775524500,121253
09:15:00,3.80,7,买,1775524500,121146
09:15:00,4.15,20,卖,1775524500,120832
09:15:00,3.99,220,卖,1775524500,120614
09:15:00,4.15,4,卖,1775524500,120505
09:15:00,3.73,1,买,1775524500,120483
09:15:00,4.10,20,卖,1775524500,120383
09:15:00,3.56,31,买,1775524500,119743
09:15:00,3.59,30,买,1775524500,119393
09:15:00,3.98,100,卖,1775524500,119310
09:15:00,3.88,27,卖,1775524500,119127
09:15:00,3.48,1,买,1775524500,119097
09:15:00,4.10,30,卖,1775524500,119008
09:15:00,4.08,30,卖,1775524500,119007
09:15:00,4.05,30,卖,1775524500,119006
09:15:00,4.03,30,卖,1775524500,119005
09:15:00,4.00,30,卖,1775524500,119004
09:15:00,3.95,30,卖,1775524500,119003
09:15:00,3.98,30,卖,1775524500,119002
09:15:00,3.64,10,买,1775524500,118980
09:15:00,4.13,16,卖,1775524500,118606
09:15:00,3.97,27,卖,1775524500,118590
09:15:00,4.12,22,卖,1775524500,118517
09:15:00,3.70,11,买,1775524500,118433
09:15:00,3.78,1,买,1775524500,117531
09:15:00,4.11,14,卖,1775524500,117274
09:15:00,3.58,64,买,1775524500,117212
09:15:00,4.15,3,卖,1775524500,116996
09:15:00,3.94,4,卖,1775524500,116995
09:15:00,3.85,15,卖,1775524500,116772
09:15:00,3.99,2,卖,1775524500,116600
09:15:00,3.98,6,卖,1775524500,116544
09:15:00,3.77,10,卖,1775524500,116313
09:15:00,4.10,10,卖,1775524500,114676
09:15:00,4.09,3,卖,1775524500,114562
09:15:00,4.10,3,卖,1775524500,114297
09:15:00,4.00,5,卖,1775524500,114296
09:15:00,4.15,3,卖,1775524500,113686
09:15:00,4.15,5,卖,1775524500,113571
09:15:00,3.41,3,买,1775524500,113126
09:15:00,4.14,6,卖,1775524500,113024
09:15:00,3.39,10,买,1775524500,112971
09:15:00,3.96,31,卖,1775524500,112846
09:15:00,4.01,28,卖,1775524500,112806
09:15:00,3.78,37,买,1775524500,112426
09:15:00,3.97,50,卖,1775524500,112040
09:15:00,4.10,1153,卖,1775524500,111378
09:15:00,4.15,10,卖,1775524500,111320
09:15:00,4.11,15,卖,1775524500,111011
09:15:00,4.15,18,卖,1775524500,109989
09:15:00,4.00,2,卖,1775524500,109812
09:15:00,4.15,103,卖,1775524500,109714
09:15:00,3.78,1,买,1775524500,109593
09:15:00,4.14,30,卖,1775524500,109226
09:15:00,3.77,5,卖,1775524500,108780
09:15:00,3.99,10,卖,1775524500,108560
09:15:00,4.11,2,卖,1775524500,108551
09:15:00,4.15,10,卖,1775524500,108002
09:15:00,4.15,20,卖,1775524500,107984
09:15:00,3.64,1,买,1775524500,107184
09:15:00,4.07,2000,卖,1775524500,107063
09:15:00,3.78,10,买,1775524500,106688
09:15:00,3.77,132,买,1775524500,106527
09:15:00,3.90,10,卖,1775524500,106354
09:15:00,3.90,3,卖,1775524500,106274
09:15:00,4.15,16,卖,1775524500,106030
09:15:00,3.99,86,卖,1775524500,105984
09:15:00,4.00,26,卖,1775524500,105568
09:15:00,3.56,1,买,1775524500,105434
09:15:00,3.77,1,卖,1775524500,105433
09:15:00,4.13,5,卖,1775524500,105224
09:15:00,3.55,27,买,1775524500,105046
09:15:00,3.51,15,买,1775524500,105045
09:15:00,4.01,1,卖,1775524500,104854
09:15:00,3.58,7,买,1775524500,104589
09:15:00,4.15,35,卖,1775524500,104022
09:15:00,4.10,1,卖,1775524500,103921
09:15:00,3.65,1,买,1775524500,103920
09:15:00,4.15,10,卖,1775524500,103851
09:15:00,3.85,1,卖,1775524500,103720
09:15:00,3.40,2,买,1775524500,103541
09:15:00,4.14,2,卖,1775524500,103533
09:15:00,3.40,3,买,1775524500,103508
09:15:00,3.78,2,买,1775524500,103285
09:15:00,3.40,5,买,1775524500,103264
09:15:00,3.68,9,买,1775524500,103140
09:15:00,4.11,2,卖,1775524500,103110
09:15:00,3.60,5,买,1775524500,103093
09:15:00,3.94,10,卖,1775524500,103034
09:15:00,4.10,50,卖,1775524500,103015
09:15:00,3.73,33,买,1775524500,102997
09:15:00,4.08,10,卖,1775524500,102070
09:15:00,3.95,10,卖,1775524500,102069
09:15:00,3.88,100,卖,1775524500,101988
09:15:00,4.00,210,卖,1775524500,101638
09:15:00,4.09,20,卖,1775524500,101332
09:15:00,3.96,4,卖,1775524500,101102
09:15:00,3.89,6,卖,1775524500,101101
09:15:00,4.08,6,卖,1775524500,101099
09:15:00,3.70,30,买,1775524500,100997
09:15:00,4.09,1,卖,1775524500,100760
09:15:00,3.88,5,卖,1775524500,100756
09:15:00,3.62,110,买,1775524500,100550
09:15:00,3.78,1,买,1775524500,100505
09:15:00,3.58,122,买,1775524500,100453
09:15:00,4.11,448,卖,1775524500,100323
09:15:00,3.63,2,买,1775524500,100278
09:15:00,3.97,3,卖,1775524500,99973
09:15:00,3.96,11,卖,1775524500,99744
09:15:00,3.95,2,卖,1775524500,99651
09:15:00,3.77,12,卖,1775524500,99454
09:15:00,3.85,5,卖,1775524500,99376
09:15:00,3.78,1,买,1775524500,99272
09:15:00,3.58,17,买,1775524500,99110
09:15:00,4.10,83,卖,1775524500,98996
09:15:00,3.58,1,买,1775524500,98703
09:15:00,3.98,6,卖,1775524500,98439
09:15:00,3.96,152,卖,1775524500,98432
09:15:00,3.89,57,卖,1775524500,98431
09:15:00,3.77,16,卖,1775524500,98269
09:15:00,3.58,300,买,1775524500,97942
09:15:00,3.58,68,买,1775524500,97705
09:15:00,3.90,3,卖,1775524500,97581
09:15:00,3.87,20,卖,1775524500,97150
09:15:00,3.78,500,买,1775524500,97135
09:15:00,4.04,180,卖,1775524500,97079
09:15:00,3.76,1,买,1775524500,96689
09:15:00,4.09,1000,卖,1775524500,96632
09:15:00,4.01,1200,卖,1775524500,96631
09:15:00,3.58,2,买,1775524500,96229
09:15:00,3.44,3,买,1775524500,96227
09:15:00,3.98,308,卖,1775524500,95786
09:15:00,3.77,20,卖,1775524500,95501
09:15:00,4.15,3,卖,1775524500,94893
09:15:00,3.58,15,买,1775524500,94745
09:15:00,3.95,55,卖,1775524500,93819
09:15:00,3.88,30,卖,1775524500,93520
09:15:00,4.15,19,卖,1775524500,92977
09:15:00,4.07,5,卖,1775524500,92897
09:15:00,3.78,1,买,1775524500,92761
09:15:00,4.13,60,卖,1775524500,92454
09:15:00,3.67,10,买,1775524500,92294
09:15:00,4.02,10,卖,1775524500,92232
09:15:00,4.15,33,卖,1775524500,91844
09:15:00,4.12,4,卖,1775524500,91843
09:15:00,4.11,1,卖,1775524500,91842
09:15:00,3.60,11,买,1775524500,91785
09:15:00,4.10,4,卖,1775524500,91776
09:15:00,3.68,4,买,1775524500,91553
09:15:00,3.62,10,买,1775524500,91466
09:15:00,3.68,10,买,1775524500,91409
09:15:00,3.78,8,买,1775524500,91364
09:15:00,4.00,13,卖,1775524500,91227
09:15:00,4.09,186,卖,1775524500,91001
09:15:00,4.15,21,卖,1775524500,90969
09:15:00,3.85,1,卖,1775524500,90567
09:15:00,4.15,83,卖,1775524500,90524
09:15:00,4.10,16,卖,1775524500,90471
09:15:00,4.10,118,卖,1775524500,90215
09:15:00,3.51,19,买,1775524500,89937
09:15:00,3.68,440,买,1775524500,89732
09:15:00,3.69,500,买,1775524500,89730
09:15:00,3.70,500,买,1775524500,89729
09:15:00,3.71,500,买,1775524500,89728
09:15:00,3.72,500,买,1775524500,89726
09:15:00,3.73,500,买,1775524500,89725
09:15:00,4.15,100,卖,1775524500,89474
09:15:00,3.78,10,买,1775524500,89045
09:15:00,3.58,2,买,1775524500,88962
09:15:00,3.77,1,买,1775524500,88059
09:15:00,4.15,10,卖,1775524500,88056
09:15:00,4.15,2,卖,1775524500,87788
09:15:00,4.08,1,卖,1775524500,87465
09:15:00,3.73,50,买,1775524500,87213
09:15:00,4.15,256,卖,1775524500,86448
09:15:00,4.00,561,卖,1775524500,86195
09:15:00,3.95,560,卖,1775524500,86194
09:15:00,4.15,27,买,1775524500,85831
09:15:00,4.15,41,卖,1775524500,84208
09:15:00,3.99,30,卖,1775524500,84207
09:15:00,3.86,20,卖,1775524500,84206
09:15:00,4.05,20,卖,1775524500,84183
09:15:00,4.15,10,卖,1775524500,83935
09:15:00,4.08,2,卖,1775524500,83839
09:15:00,4.00,14,卖,1775524500,83152
09:15:00,4.15,3,卖,1775524500,83044
09:15:00,4.10,129,卖,1775524500,82739
09:15:00,4.11,122,卖,1775524500,82319
09:15:00,4.10,22,卖,1775524500,82196
09:15:00,3.94,82,卖,1775524500,81886
09:15:00,3.99,3,卖,1775524500,81701
09:15:00,4.00,74,卖,1775524500,81700
09:15:00,3.88,5,买,1775524500,81687
09:15:00,3.65,64,买,1775524500,81597
09:15:00,3.77,20,买,1775524500,81305
09:15:00,3.71,20,买,1775524500,80869
09:15:00,4.15,20,卖,1775524500,80400
09:15:00,3.95,100,卖,1775524500,80251
09:15:00,3.60,100,买,1775524500,80133
09:15:00,4.06,10,卖,1775524500,79984
09:15:00,3.87,9,卖,1775524500,79957
09:15:00,4.14,3,卖,1775524500,78368
09:15:00,4.10,2,卖,1775524500,78366
09:15:00,3.40,26,买,1775524500,78259
09:15:00,4.00,23,卖,1775524500,77963
09:15:00,3.93,10,卖,1775524500,77947
09:15:00,3.98,50,卖,1775524500,77186
09:15:00,3.91,14,卖,1775524500,77114
09:15:00,4.15,5,卖,1775524500,76897
09:15:00,3.99,10,卖,1775524500,76760
09:15:00,3.77,3,买,1775524500,75739
09:15:00,4.05,5,卖,1775524500,75613
09:15:00,3.95,27,卖,1775524500,75261
09:15:00,3.60,28,买,1775524500,75260
09:15:00,3.58,299,买,1775524500,74986
09:15:00,3.58,20,买,1775524500,74571
09:15:00,4.15,5,卖,1775524500,74172
09:15:00,3.70,6,买,1775524500,74122
09:15:00,4.14,100,卖,1775524500,74088
09:15:00,3.60,50,买,1775524500,74081
09:15:00,3.92,8,卖,1775524500,74008
09:15:00,3.90,469,卖,1775524500,73984
09:15:00,3.89,13,卖,1775524500,73654
09:15:00,3.98,50,卖,1775524500,73543
09:15:00,4.15,12,卖,1775524500,73394
09:15:00,4.15,2,卖,1775524500,73373
09:15:00,3.39,6,卖,1775524500,73159
09:15:00,3.96,16,卖,1775524500,73147
09:15:00,4.00,18,卖,1775524500,72808
09:15:00,3.79,22,卖,1775524500,72621
09:15:00,3.89,44,卖,1775524500,71533
09:15:00,3.76,72,买,1775524500,71168
09:15:00,3.95,14,卖,1775524500,71167
09:15:00,3.90,5,卖,1775524500,70892
09:15:00,3.83,4,卖,1775524500,70891
09:15:00,4.15,150,卖,1775524500,70706
09:15:00,3.80,100,卖,1775524500,69994
09:15:00,3.77,3,卖,1775524500,69895
09:15:00,3.90,13,卖,1775524500,69814
09:15:00,4.12,4,卖,1775524500,69714
09:15:00,4.09,10,卖,1775524500,69553
09:15:00,4.15,50,卖,1775524500,69423
09:15:00,3.89,10,卖,1775524500,69001
09:15:00,4.10,5,卖,1775524500,68812
09:15:00,3.97,5,卖,1775524500,68778
09:15:00,4.15,1,卖,1775524500,68720
09:15:00,4.12,16,卖,1775524500,68419
09:15:00,3.59,3,买,1775524500,68392
09:15:00,4.14,30,卖,1775524500,67816
09:15:00,3.73,3,买,1775524500,67667
09:15:00,4.15,7,卖,1775524500,67592
09:15:00,3.98,2283,卖,1775524500,67308
09:15:00,3.65,20,买,1775524500,67163
09:15:00,3.68,20,买,1775524500,67162
09:15:00,3.50,30,买,1775524500,67094
09:15:00,3.76,5,卖,1775524500,66970
09:15:00,4.15,50,卖,1775524500,66868
09:15:00,4.15,1,卖,1775524500,66761
09:15:00,3.62,3,买,1775524500,66613
09:15:00,4.15,20,卖,1775524500,66415
09:15:00,3.86,20,卖,1775524500,66413
09:15:00,4.01,48,卖,1775524500,66245
09:15:00,4.14,36,卖,1775524500,66222
09:15:00,4.15,622,卖,1775524500,65989
09:15:00,4.01,35,卖,1775524500,65988
09:15:00,4.15,2,卖,1775524500,65970
09:15:00,4.00,5,卖,1775524500,65430
09:15:00,3.77,5,卖,1775524500,64960
09:15:00,4.15,20,卖,1775524500,64897
09:15:00,4.13,23,卖,1775524500,64896
09:15:00,3.67,2,买,1775524500,64779
09:15:00,4.15,5,卖,1775524500,64751
09:15:00,4.05,5,卖,1775524500,64750
09:15:00,3.77,8,卖,1775524500,64743
09:15:00,4.15,15,卖,1775524500,64697
09:15:00,3.91,36,卖,1775524500,64028
09:15:00,3.77,1,卖,1775524500,64004
09:15:00,4.15,10,卖,1775524500,63846
09:15:00,3.96,8,卖,1775524500,63844
09:15:00,3.58,279,买,1775524500,63721
09:15:00,3.78,8,买,1775524500,63455
09:15:00,3.77,1,买,1775524500,63246
09:15:00,3.77,33,买,1775524500,62905
09:15:00,3.96,7,卖,1775524500,62761
09:15:00,4.14,4,卖,1775524500,62494
09:15:00,3.77,3,买,1775524500,62131
09:15:00,3.78,1,买,1775524500,62123
09:15:00,3.53,60,买,1775524500,62003
09:15:00,4.10,69,卖,1775524500,61901
09:15:00,4.09,3,卖,1775524500,61401
09:15:00,4.00,20,卖,1775524500,61374
